,Abiotrophia,Acidaminococcus,Acinetobacter,Actinomyces,Adlercreutzia,Aggregatibacter,Akkermansia,Alistipes,Anaerofustis,Anaeroglobus,Anaerostipes,Anaerotruncus,Atopobium,Bacillus,Bacteroidales,Bacteroides,Barnesiella,Bifidobacterium,Bilophila,Blautia,Burkholderiales,Butyricicoccus,Butyricimonas,Butyrivibrio,Campylobacter,Candidatus,Cetobacterium,Citrobacter,Clostridiaceae,Clostridiales,Clostridium,Collinsella,Coprobacillus,Coprobacter,Coprococcus,Corynebacterium,Desulfovibrio,Dialister,Dielma,Dolosigranulum,Dorea,Dysgonomonas,Eggerthella,Eikenella,Enorma,Enterobacter,Enterococcus,Erysipelatoclostridium,Erysipelotrichaceae,Escherichia,Eubacterium,Faecalibacterium,Finegoldia,Flavonifractor,Fusobacterium,Gemella,Gordonia,Gordonibacter,Granulicatella,Haemophilus,Hafnia,Holdemania,Intestinibacter,Intestinimonas,Klebsiella,Lachnoanaerobaculum,Lachnospira,Lachnospiraceae,Lactobacillus,Lactococcus,Lautropia,Lelliottia,Leuconostoc,Megamonas,Megasphaera,Mobiluncus,Morganella,Negativicoccus,Neisseria,Odoribacter,Olsenella,Oribacterium,Oscillibacter,Oscillospiraceae,Oxalobacter,Parabacteroides,Parasutterella,Parvimonas,Pediococcus,Peptoclostridium,Peptostreptococcus,Phascolarctobacterium,Porphyromonas,Prevotella,Propionibacterium,Proteus,Providencia,Pseudoflavonifractor,Pseudomonas,Ralstonia,Raoultella,Robinsoniella,Roseburia,Rothia,Ruminococcaceae,Ruminococcus,Salmonella,Senegalimassilia,Slackia,Solobacterium,Staphylococcus,Stenotrophomonas,Stomatobaculum,Streptococcus,Subdoligranulum,Sutterella,Tannerella,Turicibacter,Tyzzerella,Veillonella
Control_2_4-6_month,0.0,0.0,393.85,2150.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,874.23,0.0,124893.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2777.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.2,26599.43,0.0,0.0,1635.9199999999998,0.0,0.0,115.05,0.0,0.0,210.17,0.0,0.0,0.0,4404.78,0.0,0.0,101.66,0.0,1573.89,0.0,0.0,0.0,77.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209.44,192.13,0.0,131.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3633.68,0.0,0.0,0.0,0.0,0.0,23264.94
Control_2_9_month,0.0,0.0,6458.67,767.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4486.16,0.0,3999.3,0.0,119987.66,0.0,283.62,0.0,2319.25,0.0,0.0,0.0,0.0,0.0,6552.64,0.0,245.94,5636.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1074.52,0.0,0.0,8285.880000000001,149037.03,0.0,0.0,459.32,157.75,299.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.23,409.27,0.0,138.55,0.0,582.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.3,0.0,0.0,0.0,16108.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158.44,2725.25,0.0,2276.8,0.0,0.0,0.0,0.0,204.24,0.0,0.0,20054.300000000003,0.0,0.0,0.0,0.0,95.13,2340.4
Control_2_12_month,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.69,0.0,0.0,0.0,0.0,9760.71,0.0,59888.13,0.0,981.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16535.52,0.0,252.42,31693.31,0.0,0.0,0.0,1627.78,0.0,0.0,0.0,0.0,0.0,0.0,97.35,25658.24,0.0,0.0,13694.46,62300.49,0.0,0.0,9653.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4974.299999999999,0.0,0.0,12707.95,0.0,0.0,0.0,0.0,3079.67,86.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9633.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1315.66,0.0,0.0,0.0,7857.4,0.0,0.0,0.0,0.0,165.09,0.0,830.51,0.0,0.0,0.0,0.0,0.0,0.0,121.37,0.0,3979.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23637.05,0.0,0.0,0.0,0.0,7117.99,7904.71
Control_2_15_month,0.0,0.0,0.0,0.0,0.0,218.37,0.0,0.0,0.0,0.0,9106.83,1970.95,0.0,0.0,0.0,13563.19,0.0,99951.84,0.0,7276.450000000001,0.0,0.0,0.0,0.0,284.52,0.0,0.0,18733.98,0.0,17310.39,51532.5,0.0,13866.93,0.0,2034.04,0.0,0.0,2517.2,0.0,0.0,0.0,5140.92,12012.89,0.0,0.0,0.0,1656.1,2661.27,22931.85,11753.61,312.66,0.0,0.0,2260.71,0.0,0.0,0.0,0.0,0.0,10161.78,0.0,2144.98,5625.67,0.0,6729.14,0.0,0.0,13583.490000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2632.17,0.0,0.0,0.0,5450.0,0.0,0.0,0.0,310.05,0.0,3774.47,0.0,0.0,124.12,0.0,0.0,277.58,77.63,0.0,0.0,6331.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4773.85,0.0,0.0,0.0,270.27,8960.0,2353.66
Control_2_18_month,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3241.68,339.56,0.0,0.0,0.0,22082.81,0.0,148629.46,0.0,2283.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2315.79,0.0,14251.23,49773.93,0.0,9074.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5689.38,26425.3,0.0,0.0,0.0,64402.37,3991.53,20658.08,4375.89,14975.32,359.09000000000003,0.0,2262.7,0.0,0.0,0.0,0.0,180.86,2718.88,0.0,602.4,756.8499999999999,1164.38,0.0,0.0,0.0,5420.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,502.1,0.0,0.0,2795.56,0.0,249.3,0.0,10245.03,0.0,0.0,0.0,217.75,0.0,441.86,0.0,0.0,0.0,0.0,0.0,1167.51,101.82,0.0,0.0,7525.650000000001,0.0,0.0,0.0,0.0,0.0,149.55,0.0,26500.45,3517.53,0.0,0.0,0.0,2259.98,4921.54
Control_2_21_month,0.0,0.0,0.0,0.0,0.0,81.08,0.0,12806.29,0.0,0.0,323.5,0.0,0.0,0.0,492.48,90524.44,0.0,106494.0,0.0,13221.58,2668.25,168.11,0.0,0.0,0.0,0.0,0.0,3955.22,0.0,2816.09,9599.93,6623.41,3339.31,0.0,0.0,0.0,0.0,404.15,0.0,0.0,0.0,0.0,361.6,0.0,0.0,0.0,15140.9,0.0,2430.34,8991.06,15620.95,6031.06,0.0,489.93,0.0,0.0,0.0,0.0,0.0,8609.28,0.0,0.0,0.0,0.0,1385.84,0.0,0.0,13117.919999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3832.49,0.0,0.0,0.0,0.0,0.0,3555.79,4065.0,0.0,0.0,373.23,0.0,0.0,0.0,0.0,0.0,4856.79,0.0,0.0,0.0,0.0,6044.85,0.0,13239.39,0.0,0.0,24982.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3216.93,0.0,0.0,0.0,85.18,7022.42,2360.24
Control_2_24_month,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19292.21,0.0,0.0,1974.98,104.14,0.0,0.0,7892.49,92587.88,0.0,64374.85,0.0,13050.07,3343.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3084.99,13047.48,0.0,213.89,0.0,255.58,0.0,183.67,0.0,0.0,0.0,0.0,0.0,1667.36,0.0,0.0,0.0,0.0,0.0,5936.219999999999,520.12,27190.59,5723.3,0.0,2260.82,0.0,0.0,0.0,0.0,0.0,5098.43,0.0,168.34,4907.37,681.18,0.0,0.0,0.0,18135.75,0.0,0.0,0.0,0.0,0.0,0.0,126.62,0.0,0.0,0.0,0.0,9058.62,0.0,0.0,83.24,110.98,0.0,3035.04,4482.9,0.0,0.0,488.18,0.0,0.0,0.0,0.0,138.67,91.05,0.0,152.6,0.0,0.0,0.0,0.0,8248.53,0.0,0.0,23260.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4418.2,2390.31,0.0,0.0,0.0,7216.8,8797.26
Control_2_27_month,0.0,0.0,0.0,0.0,0.0,88.52,181.01,88.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60626.37,0.0,135914.26,0.0,8879.41,188.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201.41000000000005,4616.45,0.0,0.0,0.0,3026.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,668.06,0.0,597.12,4383.25,9781.57,3089.85,0.0,0.0,0.0,88.52,0.0,0.0,625.88,19918.67,813.32,0.0,13569.98,0.0,229.21,0.0,0.0,6572.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4583.6,124.92,0.0,17091.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29075.24,2648.92,0.0,0.0,6238.7,7217.72,13805.9
Case_3_4-6_month,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5287.54,0.0,117062.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,327.56,0.0,0.0,89.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,756.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10744.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Case_3_9_month,0.0,11734.8,0.0,278.02,0.0,0.0,0.0,0.0,0.0,0.0,3270.45,0.0,0.0,0.0,0.0,7125.88,0.0,243546.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,855.47,0.0,4819.13,12315.4,0.0,1403.78,0.0,1419.24,0.0,0.0,0.0,0.0,0.0,0.0,400.6,8467.04,0.0,0.0,4838.41,4000.5,0.0,6975.79,6830.57,0.0,0.0,0.0,705.96,0.0,0.0,0.0,0.0,0.0,7471.400000000001,0.0,0.0,580.6800000000001,0.0,1882.42,0.0,0.0,1824.76,30424.69,0.0,0.0,0.0,0.0,0.0,3109.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3157.08,0.0,0.0,0.0,0.0,147.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.57,0.0,4120.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5775.18,0.0,8340.98,0.0,0.0,0.0,17854.22
Case_3_12_month,0.0,2353.82,0.0,463.64,0.0,0.0,0.0,0.0,0.0,5497.86,8447.19,0.0,0.0,0.0,0.0,7417.02,0.0,219792.49,0.0,1206.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8382.369999999999,0.0,10464.5,15756.08,6139.24,6582.219999999999,0.0,0.0,0.0,0.0,6111.95,140.53,0.0,5378.98,10288.79,18670.07,0.0,0.0,0.0,3788.89,0.0,7916.4,5785.96,9104.04,0.0,0.0,922.23,0.0,0.0,0.0,0.0,0.0,2185.86,0.0,0.0,712.79,0.0,0.0,0.0,0.0,6719.49,8875.050000000001,0.0,0.0,0.0,0.0,0.0,3058.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9825.86,0.0,0.0,0.0,11706.34,0.0,80.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8140.969999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,587.4300000000001,6937.94,77.32,0.0,0.0,103.19,13401.69
Case_3_15_month,0.0,1648.68,0.0,0.0,0.0,0.0,0.0,7845.469999999999,0.0,0.0,9836.22,0.0,0.0,0.0,0.0,6946.509999999999,0.0,245855.71,0.0,13309.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3376.88,2326.08,6727.26,911.35,0.0,0.0,0.0,0.0,4958.13,0.0,0.0,14462.3,0.0,15790.38,0.0,0.0,0.0,0.0,0.0,0.0,1826.97,9929.98,9983.03,0.0,471.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1562.6,0.0,3631.83,0.0,0.0,5328.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6249.759999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7266.0,0.0,0.0,15982.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289.81,1202.91,0.0,0.0,0.0,2018.12,0.0
Case_3_18_month,0.0,0.0,0.0,1061.48,0.0,0.0,0.0,4411.68,0.0,0.0,11129.85,0.0,0.0,0.0,0.0,0.0,0.0,246557.27,0.0,13543.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5397.52,6753.46,7052.129999999999,1488.19,0.0,7529.11,0.0,0.0,173.74,0.0,0.0,17671.68,0.0,19203.43,0.0,0.0,0.0,0.0,642.8,5716.26,0.0,9056.35,193.35,0.0,515.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3359.9700000000003,0.0,418.7,0.0,0.0,8794.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9130.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6025.66,0.0,0.0,25874.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,430.76,236.18,0.0,0.0,0.0,1405.45,0.0
Case_3_21_month,0.0,188.21,0.0,0.0,0.0,0.0,0.0,10769.14,0.0,0.0,8974.15,0.0,0.0,0.0,0.0,6548.43,0.0,255842.23,0.0,12216.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1534.75,2576.62,6767.4400000000005,1657.44,0.0,6968.550000000001,0.0,0.0,0.0,0.0,0.0,18728.8,0.0,25891.140000000003,0.0,0.0,0.0,138.46,1107.78,0.0,3817.01,9271.92,4705.89,0.0,364.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1808.21,0.0,0.0,0.0,0.0,6492.549999999999,0.0,2359.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7570.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13406.58,0.0,0.0,26265.58,135.18,0.0,0.0,0.0,0.0,0.0,0.0,1161.66,1079.22,0.0,0.0,0.0,121.68,0.0
Case_3_24_month,0.0,3472.55,0.0,0.0,0.0,0.0,0.0,7888.620000000001,0.0,0.0,10181.73,0.0,0.0,0.0,0.0,2564.63,0.0,258440.13,0.0,12679.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3913.88,2227.33,6928.82,172.33,0.0,6724.08,0.0,0.0,0.0,0.0,0.0,20672.93,0.0,9004.130000000001,0.0,0.0,13348.12,0.0,0.0,0.0,1326.6,11100.9,10316.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3620.44,0.0,113.1,0.0,0.0,9165.33,0.0,0.0,5785.959999999999,0.0,0.0,0.0,620.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2968.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7989.02,0.0,0.0,19136.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25335.41,362.21,0.0,0.0,0.0,96.6,0.0
Case_3_27_month,0.0,9698.94,0.0,0.0,0.0,0.0,0.0,10772.04,0.0,0.0,9245.29,0.0,0.0,0.0,0.0,7128.49,0.0,265791.91000000003,0.0,12711.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,370.67,2899.36,6787.57,0.0,0.0,6906.7,0.0,0.0,5307.75,0.0,0.0,13851.98,656.39,1532.84,0.0,0.0,0.0,0.0,0.0,304.34,0.0,8108.87,11688.79,0.0,1055.96,0.0,0.0,0.0,0.0,0.0,104.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5463.070000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14503.19,0.0,0.0,25235.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,422.41,184.36,4081.76,0.0,0.0,101.03,0.0
Control_3_4-6_month,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9674.3,0.0,20016.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2036.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,469.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.46,0.0,0.0,0.0,0.0,0.0,0.0
Control_3_9_month,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66684.99,0.0,95490.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,314.5,0.0,120.84,254.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16099.06,0.0,0.0,3423.15,0.0,0.0,0.0,6381.92,0.0,0.0,0.0,355.83,0.0,0.0,0.0,0.0,0.0,4012.04,0.0,0.0,203.05,0.0,2851.92,0.0,0.0,363.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21518.97,0.0,0.0,0.0,4349.26,0.0,0.0,946.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4413.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1388.79,21071.33
Control_3_12_month,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9447.18,0.0,0.0,0.0,0.0,58205.58,0.0,26767.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4606.09,0.0,5833.589999999999,4266.34,0.0,6798.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14095.009999999998,0.0,0.0,0.0,226.93,1370.98,0.0,15223.05,0.0,0.0,0.0,921.04,0.0,0.0,0.0,0.0,0.0,4036.62,0.0,0.0,0.0,0.0,80.93,0.0,0.0,4935.44,5553.26,0.0,0.0,0.0,0.0,0.0,130.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19851.06,0.0,0.0,0.0,3882.88,0.0,0.0,767.75,0.0,0.0,222.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8320.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,376.6,0.0,0.0,0.0,0.0,7872.27,21496.8
Control_3_15_month,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7997.73,0.0,0.0,0.0,0.0,68352.43000000001,0.0,30207.08,0.0,0.0,0.0,80.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1747.59,5837.01,0.0,1686.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11332.1,0.0,0.0,0.0,96.73,767.34,8511.48,7253.26,14426.04,0.0,0.0,1370.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2659.41,0.0,0.0,0.0,0.0,6594.58,86.95,98.66,0.0,0.0,0.0,0.0,2790.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15410.63,0.0,0.0,0.0,3563.8900000000003,0.0,4435.53,959.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12578.14,0.0,0.0,5979.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350.25,0.0,0.0,0.0,0.0,6917.07,33098.81
Control_3_18_month,0.0,0.0,0.0,0.0,0.0,0.0,1676.86,4944.4,0.0,0.0,9930.85,0.0,0.0,0.0,0.0,140967.68,8890.25,91783.76,501.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4575.73,0.0,761.74,7913.679999999999,0.0,167.25,0.0,0.0,0.0,0.0,2821.31,0.0,0.0,0.0,0.0,22773.76,0.0,0.0,0.0,0.0,0.0,15914.12,7800.03,19852.23,2518.6,0.0,1109.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.06,0.0,0.0,0.0,0.0,9925.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22161.32,0.0,0.0,0.0,7876.88,0.0,5956.45,974.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8594.7,0.0,0.0,12545.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1956.1,0.0,0.0,0.0,1368.35,18872.57
Control_3_21_month,0.0,0.0,0.0,0.0,0.0,0.0,5544.280000000001,4899.09,0.0,0.0,10177.72,1816.39,0.0,0.0,0.0,122297.77,3797.76,77044.88,1196.14,12791.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10213.14,11866.05,0.0,3724.81,0.0,0.0,0.0,0.0,4482.93,0.0,0.0,5147.01,0.0,11306.87,0.0,0.0,0.0,0.0,1945.66,8604.64,1342.41,13702.55,4621.32,0.0,1404.96,0.0,0.0,0.0,0.0,93.57,0.0,0.0,0.0,1697.03,0.0,0.0,0.0,0.0,5344.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.71,0.0,7405.66,0.0,0.0,0.0,4291.629999999999,0.0,9122.33,454.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14929.1,0.0,0.0,31993.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3895.52,7798.05,0.0,0.0,0.0,0.0,6228.4
Control_3_24_month,0.0,0.0,0.0,0.0,0.0,0.0,2915.05,4828.16,0.0,0.0,7259.289999999999,0.0,0.0,0.0,0.0,21447.73,0.0,19128.65,0.0,19204.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.87,23376.15,0.0,9075.44,0.0,1474.0,0.0,0.0,78.75,0.0,0.0,127.97,0.0,26896.4,0.0,0.0,0.0,29877.77,0.0,20687.34,10616.47,18152.05,1292.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6296.530000000001,0.0,0.0,477.35,0.0,0.0,0.0,0.0,8478.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9404.83,0.0,126.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.82,0.0,0.0,12496.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5488.0,0.0,0.0,0.0,0.0,0.0,0.0
Control_3_27_month,0.0,0.0,0.0,0.0,0.0,0.0,380.73,4896.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142196.88999999998,79.83,72233.64,0.0,1834.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3778.5,16197.65,0.0,1758.2800000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.35,0.0,0.0,0.0,0.0,0.0,0.0,1187.83,319.82,3259.04,164.52,7803.120000000001,0.0,1481.31,0.0,0.0,0.0,0.0,0.0,78.77,0.0,0.0,2086.85,0.0,0.0,0.0,0.0,2937.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25703.620000000003,0.0,0.0,0.0,165.97,0.0,0.0,972.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5865.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Case_4_4-6_month,0.0,0.0,0.0,907.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20195.33,0.0,129298.45,0.0,89.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8542.53,1090.5500000000002,0.0,5885.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30246.45,0.0,0.0,0.0,16349.919999999998,4528.14,4460.01,12372.79,212.05,0.0,0.0,344.72,0.0,82.62,0.0,0.0,240.37,7022.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1564.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10021.35,0.0,0.0,0.0,0.0,187.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,905.21,0.0,5032.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21386.32,0.0,0.0,0.0,0.0,9112.15,8432.03
