,Abiotrophia,Acidaminococcus,Acinetobacter,Actinomyces,Adlercreutzia,Aggregatibacter,Akkermansia,Alistipes,Anaerofustis,Anaeroglobus,Anaerostipes,Anaerotruncus,Atopobium,Bacillus,Bacteroidales,Bacteroides,Barnesiella,Bifidobacterium,Bilophila,Blautia,Burkholderiales,Butyricicoccus,Butyricimonas,Butyrivibrio,Campylobacter,Candidatus,Cetobacterium,Citrobacter,Clostridiaceae,Clostridiales,Clostridium,Collinsella,Coprobacillus,Coprobacter,Coprococcus,Corynebacterium,Desulfovibrio,Dialister,Dielma,Dolosigranulum,Dorea,Dysgonomonas,Eggerthella,Eikenella,Enorma,Enterobacter,Enterococcus,Erysipelatoclostridium,Erysipelotrichaceae,Escherichia,Eubacterium,Faecalibacterium,Finegoldia,Flavonifractor,Fusobacterium,Gemella,Gordonia,Gordonibacter,Granulicatella,Haemophilus,Hafnia,Holdemania,Intestinibacter,Intestinimonas,Klebsiella,Lachnoanaerobaculum,Lachnospira,Lachnospiraceae,Lactobacillus,Lactococcus,Lautropia,Lelliottia,Leuconostoc,Megamonas,Megasphaera,Mobiluncus,Morganella,Negativicoccus,Neisseria,Odoribacter,Olsenella,Oribacterium,Oscillibacter,Oscillospiraceae,Oxalobacter,Parabacteroides,Parasutterella,Parvimonas,Pediococcus,Peptoclostridium,Peptostreptococcus,Phascolarctobacterium,Porphyromonas,Prevotella,Propionibacterium,Proteus,Providencia,Pseudoflavonifractor,Pseudomonas,Ralstonia,Raoultella,Robinsoniella,Roseburia,Rothia,Ruminococcaceae,Ruminococcus,Salmonella,Senegalimassilia,Slackia,Solobacterium,Staphylococcus,Stenotrophomonas,Stomatobaculum,Streptococcus,Subdoligranulum,Sutterella,Tannerella,Turicibacter,Tyzzerella,Veillonella
Control_1_24_month,0.0,0.0,0.0,0.0,3241.85,0.0,218.9,16363.45,0.0,0.0,13042.31,0.0,0.0,0.0,0.0,155550.33,6946.81,194518.29,0.0,20766.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,578.94,2863.54,6532.639999999999,0.0,0.0,19140.54,0.0,0.0,5997.77,0.0,0.0,12591.92,0.0,13319.68,0.0,242.52,0.0,0.0,0.0,0.0,397.56,28575.44,16568.989999999998,0.0,434.9,0.0,0.0,0.0,0.0,0.0,2810.17,0.0,0.0,14775.36,0.0,0.0,0.0,0.0,7378.97,124.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,919.5,2056.92,0.0,248.32,0.0,0.0,0.0,4171.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17868.809999999998,0.0,101.1,26542.72,0.0,0.0,0.0,209.61,0.0,0.0,0.0,8594.68,184.66,10675.67,0.0,0.0,285.36,9617.55
Control_1_27_month,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12891.86,0.0,0.0,0.0,0.0,8401.68,0.0,153599.0,0.0,20479.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2196.32,6542.24,0.0,0.0,10293.31,0.0,0.0,972.53,0.0,0.0,11341.83,0.0,25819.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20771.26,8137.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,517.01,0.0,0.0,0.0,0.0,6428.65,0.0,1103.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8334.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7924.32,0.0,0.0,24295.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7059.01,0.0,0.0,0.0,0.0,274.55,1570.28
Case_2_4-6_month,0.0,0.0,0.0,4151.89,0.0,0.0,0.0,243.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,888.08,0.0,22639.53,0.0,1533.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13163.21,12175.29,0.0,7816.110000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173.53,0.0,0.0,0.0,18800.14,4906.29,0.0,536.51,8057.5,77.93,0.0,0.0,0.0,0.0,0.0,1261.7,0.0,4968.83,0.0,0.0,7331.2,0.0,434.36,0.0,0.0,273.17,14701.36,0.0,0.0,0.0,0.0,0.0,0.0,105.82,0.0,1142.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,269.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,311.21,0.0,0.0,1868.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1484.84,93.08,0.0,0.0,0.0,111.36,21630.51
Case_2_9_month,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9846.28,0.0,0.0,0.0,0.0,0.0,0.0,301.71,0.0,10499.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14163.33,0.0,14416.51,29967.35,0.0,14909.329999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16603.67,0.0,0.0,201.76,20644.07,6267.23,10426.07,11579.74,0.0,96.33,0.0,134.77,5967.88,0.0,0.0,340.24,0.0,205.36,0.0,0.0,0.0,0.0,22327.84,0.0,0.0,3950.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7109.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13417.52,0.0,0.0,0.0,0.0,0.0,0.0,326.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4216.5,541.07,0.0,0.0,0.0,0.0,0.0,0.0,10616.97,7966.77,0.0,0.0,0.0,0.0,20234.45
Case_2_12_month,0.0,0.0,0.0,0.0,0.0,0.0,204.55,0.0,0.0,0.0,245.99,0.0,0.0,0.0,0.0,10510.15,0.0,176467.17,0.0,8089.33,0.0,0.0,0.0,0.0,4917.7,0.0,0.0,374.25,3767.23,10290.56,29954.81,0.0,4392.91,0.0,0.0,0.0,0.0,6064.85,0.0,0.0,0.0,0.0,2157.84,0.0,0.0,0.0,1003.04,1623.15,4255.63,609.59,18123.79,93.99,0.0,148.11,0.0,0.0,0.0,0.0,0.0,3987.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4919.17,12134.85,0.0,0.0,0.0,0.0,0.0,6242.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1064.11,0.0,0.0,0.0,0.0,0.0,604.03,0.0,0.0,0.0,0.0,0.0,0.0,276.89,0.0,0.0,7636.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3858.78,3108.3,0.0,0.0,0.0,0.0,24135.24
Case_2_15_month,0.0,0.0,0.0,0.0,0.0,0.0,176.63,4050.22,0.0,0.0,180.82,0.0,0.0,0.0,0.0,22672.91,0.0,192258.31,0.0,6507.2300000000005,0.0,0.0,0.0,0.0,4161.05,0.0,0.0,0.0,4247.2,7471.4,24734.04,2619.01,2847.24,0.0,0.0,0.0,0.0,5264.79,0.0,0.0,0.0,0.0,2025.7,0.0,0.0,0.0,0.0,0.0,3899.47,4372.99,17526.62,0.0,0.0,211.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.89,0.0,0.0,0.0,0.0,6426.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6778.43,0.0,0.0,12281.08,0.0,0.0,0.0,302.26,0.0,0.0,5907.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1090.27,0.0,78.9,20170.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2687.63,5411.38,0.0,0.0,0.0,0.0,10522.47
Case_2_18_month,0.0,0.0,0.0,0.0,0.0,0.0,179.37,4048.83,0.0,0.0,0.0,307.67,0.0,0.0,0.0,23222.68,0.0,141044.7,779.71,14570.11,0.0,0.0,0.0,0.0,4872.389999999999,0.0,0.0,0.0,3505.73,10898.94,28813.84,4787.78,5643.15,0.0,0.0,0.0,0.0,6071.02,0.0,0.0,0.0,0.0,3727.1,0.0,0.0,0.0,213.21,0.0,8606.48,2280.52,233.69,0.0,0.0,207.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1444.65,0.0,0.0,0.0,0.0,7432.83,0.0,9435.91,0.0,0.0,0.0,0.0,246.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.24,0.0,0.0,10839.54,0.0,0.0,0.0,1530.41,0.0,0.0,5909.46,761.52,0.0,3335.25,0.0,0.0,0.0,0.0,0.0,0.0,1392.62,0.0,0.0,16961.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5172.81,7223.56,0.0,0.0,0.0,859.72,6668.02
Case_2_21_month,0.0,0.0,0.0,0.0,0.0,0.0,445.71,11825.8,0.0,0.0,11140.42,1118.9,0.0,0.0,0.0,97612.15,0.0,170110.41,0.0,16387.35,0.0,0.0,0.0,0.0,1893.07,0.0,0.0,0.0,184.01,15692.29,9943.28,775.03,10167.88,0.0,0.0,0.0,0.0,6075.75,0.0,0.0,3788.82,0.0,28493.89,0.0,0.0,179.73,0.0,2236.55,8950.28,1822.54,11299.4,5888.67,0.0,163.34,0.0,0.0,0.0,801.32,0.0,186.45,0.0,704.75,3571.3900000000003,2973.49,0.0,0.0,0.0,21731.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7360.34,0.0,0.0,3126.12,1438.29,0.0,13108.11,0.0,0.0,0.0,9504.16,0.0,0.0,5906.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1851.72,0.0,0.0,33584.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28804.880000000005,7970.58,0.0,0.0,0.0,3747.81,7495.0
Case_2_24_month,0.0,0.0,0.0,455.27,0.0,0.0,447.63,14825.05,365.96,0.0,15794.57,1989.05,351.79,0.0,0.0,109701.84,0.0,169136.88,0.0,14213.94,226.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1735.63,29930.54,17236.12,5120.25,14323.87,0.0,0.0,0.0,0.0,6077.74,0.0,0.0,0.0,0.0,27874.090000000004,0.0,0.0,195.75,4698.33,3486.26,6297.53,317.51,12340.59,6837.96,0.0,321.75,0.0,77.04,0.0,1219.68,0.0,231.24,0.0,255.84,15305.65,447.25,0.0,0.0,0.0,19099.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5314.17,0.0,0.0,3669.43,1720.29,0.0,19639.210000000003,222.37,0.0,0.0,8721.689999999999,0.0,0.0,1242.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8572.26,0.0,91.29,18894.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33400.64,7984.4,0.0,0.0,0.0,3992.68,330.71000000000004
Case_2_27_month,0.0,0.0,0.0,0.0,0.0,0.0,442.4,22765.65,0.0,0.0,10049.82,270.11,0.0,0.0,0.0,111039.35,0.0,121168.6,0.0,7660.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,605.07,7198.34,2268.04,3597.28,3332.08,0.0,0.0,0.0,0.0,6070.33,0.0,0.0,0.0,0.0,29816.67,0.0,0.0,0.0,0.0,1486.5,487.33,0.0,4607.71,6154.83,0.0,0.0,0.0,0.0,0.0,324.14,0.0,0.0,0.0,0.0,4193.59,0.0,0.0,0.0,0.0,10436.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1632.55,0.0,0.0,1126.8200000000002,1378.42,0.0,21208.36,0.0,0.0,0.0,9104.62,0.0,0.0,946.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.19,0.0,0.0,13811.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1013.62,7981.13,0.0,0.0,0.0,386.21,0.0
